,REGISTRO_ANCINE,RAZAO_SOCIAL,EMPRESA_ASSOCIADA
208,34520,SOTAQUE FILMES LTDA - ME,TRÊS PESQUISA E SERVIÇOS LTDA
209,14286,MS MONDEGO,TRÊS PESQUISA E SERVIÇOS LTDA
210,12148,BOX COMPANHIA DE ARTE,MACHADO FILMES E PRODUÇÕES LTDA
211,262,MALAGUETA CINEMA E VIDEO LTDA,AMERICA FILMS INTERNATIONAL LTDA
212,21231,IMAGEROCA CINEMA E VIDEO LTDA,AMERICA FILMS INTERNATIONAL LTDA
213,50576,PRODUTORA PRODUTORA DE FILMES E ARTE LTDA,ARTHUR DARTAGNAN CHAVES DOS SANTOS 43973746869
214,43034,DIGIMAGEM PRODUTORA DE FILMES LTDA,DIGIMAGEM HIGH DEFINITION LTDA EPP
215,37601,CINE ELI PARAÍBA CINEMAS LTDA,EMPRESA CENTERPLEX DE CINEMAS LTDA
216,2836,EMPRESA SAO LUIZ DE CINEMAS LTDA,EMPRESA CENTERPLEX DE CINEMAS LTDA
217,35977,MARANGUAPE CINEMAS LTDA - ME,EMPRESA CENTERPLEX DE CINEMAS LTDA
218,15978,MIGDAL PRODUÇÕES CINEMATOGRÁFICAS LTDA.,MIGDAL PRODUÇÕES AUDIOVISUAIS LTDA
219,48664,AG ENTRETENIMENTO E PARTICIPACOES LTDA EPP,CRO DIGITAL COMUNICACAO LTDA
220,51977,"ESCRITÓRIO DE ARTES, PRODUÇÕES ARTÍSTICAS E ASSESSORIA LTDA",INSTITUTO CASADELAS
221,29477,MAIS MOLEQUES PRODUÇÕES LTDA - EPP,DOIS MOLEQUES PRODUÇÕES LTDA
222,5019,PEROLA NEGRA PRODUÇÕES LTDA,DOIS MOLEQUES PRODUÇÕES LTDA
223,1981,CINEMAS RIVER LTDA,DAC PARTICIPAÇÕES LTDA
224,13822,MAURICIO DE SOUSA EDITORA LTDA,LOJINHA DA MÔNICA LTDA
225,4369,CAMISA TREZE CULTURAL LTDA,RTRG2019 PRODUCOES ARTISTICAS LTDA
226,39465,"TAPIOCA FILMES, CULTURA E COMUNICACAO LTDA",TOCANTINS FILMES PRODUCOES AUDIOVISUAIS LTDA
227,17776,JOSUE'S CINE SHOPPING LTDA,JOSUÉ´S CINE ARCOS LTDA.
228,49,ART2D2 PRODUÇÕES LTDA,RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.
229,38559,IDF BRAZIL AUDIOVISUAL LTDA - EPP,MACIAS AUDIOVISUAL LTDA - EPP
230,23097,FRANCISCO DE ASSIS POGIAN PRODUÇÕES ME,FRANCISCO DE ASSIS PORGIAN PRODUÇÕES
231,20415,DORIS FILMES LTDA ME,GUARÁ ENTRETENIMENTO
232,16095,CHIN - PRODUCOES ARTISTICAS LTDA,37 NÃO É FEBRE PRODUÇÕES ARTÍSTICAS LTDA
233,43452,H L THEOBALD FILMES,HUGO LEONARDO THEOBALD 06925212755
234,13722,CAPADÓCIA MARKETING LTDA,BISULINHA PARTICIPACÕES E ENTRETENIMENTO LTDA
235,29087,CH'IEN O CRIATIVO PRODUÇÕES ARTÍSTICAS LTDA,DE FELIPPES FILMES E PRODUÇÕES LTDA
236,25286,BIG BANG COMUNICACAO AUDIOVISUAL LTDA,JOÃO GABRIEL SANTOS LEITE
237,38236,C A V LEMOS E CIA LTDA - ME,C A VIEIRA LEMOS E CIA LTDA
238,12918,ALPHA PRODUÇÕES LTDA ME,PRIMATA PRODUÇÕES AUDIOVISUAIS E COMÉRCIO DE ALIMENTOS PARA EVENTOS EIRELI
